Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1721.8520788728292
FDW14,OUT017,290.72541076729794
NCN55,OUT010,3498.102494587036
FDQ58,OUT017,1307.573839005434
FDY38,OUT027,4099.823535939444
FDH56,OUT046,1557.2786866601073
FDL48,OUT018,431.47698421722816
FDC48,OUT027,1695.3459346759864
FDN33,OUT045,2168.282389329761
FDA36,OUT017,1806.3372422558605
FDT44,OUT017,716.0718294464514
FDQ56,OUT045,1966.719821014256
NCC54,OUT019,2658.9789475888665
FDU11,OUT049,1882.0243547381433
DRL59,OUT013,745.0574516900724
FDM24,OUT049,2395.574058422939
FDI57,OUT045,3782.960652068634
DRC12,OUT018,2617.588684845219
NCM42,OUT027,2131.3490261153074
FDA46,OUT010,2706.1777267139532
FDA31,OUT013,2609.7598228986135
NCJ31,OUT035,2722.995083376927
FDG52,OUT046,432.6525179616656
NCL19,OUT019,1182.9187617406988
FDS10,OUT035,1859.9966341154595
FDX22,OUT010,3052.748180547178
NCF19,OUT035,0.0
NCE06,OUT046,2181.137057892942
DRC27,OUT046,3510.0795016287466
FDE21,OUT035,851.1240352473342
NCR42,OUT019,0.0
FDX51,OUT018,2698.646437507199
NCR06,OUT018,282.0032162069583
FDU31,OUT027,3875.43108769589
FDU59,OUT017,1414.9445526976288
FDR03,OUT027,3694.4414825521326
FDS49,OUT027,1658.0518231013903
FDD48,OUT010,1516.586094488861
NCF18,OUT017,1877.1968690967642
NCD43,OUT027,2043.2890021719031
NCD54,OUT018,1865.0409857792438
FDY19,OUT010,1567.564218969068
NCY54,OUT017,1537.4043056437185
NCL19,OUT018,1882.617448017916
FDP23,OUT010,3116.7020661647366
FDC26,OUT013,1628.3104106013634
FDR14,OUT010,511.28493635887753
NCS41,OUT035,1879.9318498728371
FDF41,OUT035,2859.3179350142946
FDU34,OUT046,1641.859245207821
DRH11,OUT046,559.5495432208027
FDM03,OUT013,1548.5657923634844
FDS31,OUT017,1760.0668565428568
FDJ20,OUT017,835.0548820664826
FDV44,OUT027,3412.1328274218813
FDG02,OUT049,2959.5931342876775
FDA09,OUT013,2787.4078538153753
FDT04,OUT013,497.5811086307531
FDL58,OUT019,3070.6331093729095
FDE52,OUT045,2127.2888038821566
FDW12,OUT035,1326.8442896558572
FDL51,OUT017,2303.080549036693
NCY42,OUT027,2631.3426191827984
FDR07,OUT017,399.3564662092449
